"eword","hword","egrammar"
"cross lined","ओतप्रोत","adjective"
"cross mind","विचार आना","Verb"
"cross my 
heart","कसम खाथा हूँ","Noun"
"cross my heart","कसम खाथा हूँ","Noun"
"cross objection","प्रत्याक्षेप","Verb"
"cross off","से काट देना","Verb"
"cross out","काट देना","Verb"
"cross over","बदलना","Verb"
"cross palm with silver","हाथ पर पैसा रखना","Verb"
"cross path","रास्ते में टकराना","Verb"
"cross path","रास्ते में 
टकराना","Verb"
"cross ply","क्रस प्लाई","Noun"
"cross ply","टायर की मजबूती हेतु ढ़ाँचे पर कई परतों के बीच आड़े तिरछे","Adjective"
"cross pollinate","परागण 
करना","Verb"
"cross pollinate","परागण करना","Verb"
"cross product","अन्योन्य गुणन","Noun"
"cross question","जिरह करना","Verb"
"cross question","जिरह 
करना","Verb"
"cross reference","प्रतिनिर्देश","Noun"
"cross reference","प्रति निर्देश","Noun"
"cross reference","प्रति निर्देश 
देना","Verb"
"cross reference","प्रति निर्देश देना","Verb"
"cross section","विशेष अंश","Noun"
"cross section","अनुप्रस्थ काट","Adjective"
"cross section","व्यापक 
प्रतिनिधित्व","Adjective"
"cross section","व्यापक प्रतिनिधित्व","Adjective"
"cross section","विशेष 
अंश","Adjective"
"cross stitch","दोसूती सिलाई","Noun"
"cross stitch","एक प्रकार की कढ़ाई","Noun"
"cross stitch","दोसूती 
सिलाई","Noun"
"cross stitch","दोसूती टाँका","Noun"
"cross swords","बहस करना","Verb"
"cross the rubicon","अटल क़दम उठाना","Verb"
"cross the rubicon","अटल 
क़दम उठाना","Verb"
"cross threaded","ओतप्रोत","adjective"
"cross through","काट देना","Verb"
"cross thwart","आड़ा तख्ता","Noun"
"crossbar","कसरत की कला में काम आने वाली पट्ट अर्गला","Noun"
"crossbeam","आड़ा शहतीर","Noun"
"crossbeam","आड़ा 
शहतीर","Noun"
"crossbenches","ब्रिटिश पार्लियामेन्ट में सीट{अब केवल हाउस आफ लौर्ड}","Noun"
"crossbones","ख़तरे या मृत्यु का निशान","Noun"
"crossbones","खोपड़ी की हड्डी","Noun"
"crossbow","आड़ी कमान","Noun"
"crosscurrent","अशांत जल क्षेत्र","Noun"
"crosscurrent","अशांत 
जल क्षेत्र","Noun"
"crossdresser","प्रतिजातीय वेशधारी","Noun"
"crossectional area","अनुप्रस्थ काट","Noun"
"crossed","उतीर्ण","adjective"
"crossed cheque","रेखांकित चैक","Noun"
"crossed fingers","अंटी गुंटी","Noun"
"crossed fingers","अंटी","Noun"
"crossfire","दोनो तरफ से बन्दूकों का चलना","Verb"
"crossing","क्रसिंग","Noun"
"crossing","पारगमन","Noun"
"crossing","चौराहा","Noun"
"crossing","पार","Noun"
"crossness","चिड़चिड़ापन","Noun"
"crossover","आर पार पुल बनाना","Verb"
"crossover","विकास की 
प्रक्रिया","Noun"
"crossover","पुल","Noun"
"crossover","विकास की प्रक्रिया","Noun"
"crossover","बदलाव की प्रक्रिया","Noun"
"crosspiece","आड़ा शहतीर","Noun"
"crosspiece","वस्तु या औज़ार का टुकड़ा जो दूसरे पर आड़ा तिरछा लगा हो","Noun"
"crossplatform","कई ऑपरेटिंग सिस्टमस पर खुलने में समर्थ सॉफ्टवेर","noun"
"crossroads","चौराहा","Noun"
"crossroads","दोराहा","Noun"
"crosstie","क्रौसटाई","Noun"
"crosswalk","पैदल सड़क पार करने का 
स्थानअ","Noun"
"crosswalk","पैदल चलने वालों के लिये ज़ीब्रा क्रासिगं","Noun"
"crosswalk","पैदल सड़क पार करने का स्थानअ","Noun"
"crosswind","तिरछी 
हवा","Noun"
"crosswind","तिरछी हवा","Noun"
"crosswise","आड़ा तिरछा","Adjective"
"crosswise","आड़े तिरछे","Adjective"
"crosswise","आड़े तिरछे","Adjective"
"crossword","वर्ग पहेली","Noun"
"crossword 
puzzle","वर्ग पहेली","Noun"
"crossword puzzle","वर्ग पहेली","Noun"
"crosswork","पदाचारी मोड़","Noun"
"crotch","जाँघ एवं धड़ के जोड़ का क्षेत्र","Noun"
"crotch","पदसन्धि","Noun"
"crotchet","संगीत में पादस्वर","Noun"
"crotchety","सनकी","Adjective"
"crotchety","चिड़चिड़ा","Adjective"
"croton bug","क्रोटन बग","Noun"
"crotonbug","क्रोटनबग","Noun"
"crouch","दुबकना","Verb"
"crouch","दुबकने की मुद्रा","Noun"
"crouch","दुबकने की 
मुद्रा","Noun"
"crouch","दुबक के बैठना","IntransitiveVerb"
"crouched","दुबक के बैठा हुआ","Adjective"
"crouched","दुबक कर","Verb"
"crouched","दुबक 
कर","Verb"
"croup","बच्चों मे कण्ठ रोग","Noun"
"croup","पुट्ठा{घोड़े का}","Noun"
"croupier","जुएँ की मेज़ का मालिक","Noun"
"crouton","डबलरोटी का तला हुआ टकड़ा","Noun"
"crow","शेखी बघारना","IntransitiveVerb"
"crow","कौआ","Noun"
"crow","काक","Noun"
"crow","किलकारना","Verb"
"crow","हर्षध्वनि 
करना","Verb"
"crow","काँव काँव करना/कुकुरू कूं करना","IntransitiveVerb"
"crow","कुकडूँ कूँ करना","Verb"
"crow","हर्षध्वनि करना","Verb"
"crow","कौआ/काक/काग/2.काँव काँव/कुकुरू कूं","Noun"
"crow","कौवा","Noun"
"crow","ककिला","Noun"
"crowbar","बोझ उठाने की डण्डी/लोहदंड","Noun"
"crowbar","खनती","Noun"
"crowbar","सब्बल","Noun"
"crowd","ढेर","Noun"
"crowd","घेरना","Verb"
"crowd","भरना","Verb"
"crowd","मण्डली","Noun"
"crowd","पर दबाव 
डालना","Verb"
"crowd","घुसेड़ना","Verb"
"crowd","ठूँसना","Verb"
"crowd","दबाव डालना","Verb"
"crowd","घुसाना","Verb"
"crowd","टोली","Noun"
"crowd","जनता","Noun"
"crowd","इकट्ठा 
होना","Verb"
"crowd","इक्ट्ठा करना","Verb"
"crowd","भीड़","Noun"
"crowd","गुट","Noun"
"crowd","इक्ट्ठा 
करना","Verb"
"crowd","इकट्ठा होना","Verb"
"crowd","डरा देना","Verb"
"crowd","जन समुदाय","Verb"
"crowd","भीड़ 
करना","Verb"
"crowd","ठूंसना/ठसाठस भरना","Verb"
"crowd","पर दबाव डालना","Verb"
"crowd","भीड़/समूह/रेला/ढेर","Noun"
"crowd","भीड़ लगाना","Verb"
"crowd","भीड़ करना","Verb"
"crowd 
onto","पर जमा होना","Verb"
"crowd in","ठेल ठाल कर लेना","Verb"
"crowd in","में ठूँस 
देना","Verb"
"crowd in","में ठूँस देना","Verb"
"crowd in on","भीड़ 
लगना","Verb"
"crowd in on","भीड़ लगना","Verb"
"crowd in on","पर बाढ आना","Verb"
"crowd into","में जमा 
हो","Noun"
"crowd into","भर देना","Verb"
"crowd into","में जमा हो","Noun"
"crowd into","में ठूँस देना","Verb"
"crowd onto","पर जमा होना","Verb"
"crowd onto","में ठूँस देना","Verb"
"crowd out","निकाल फेंकना","Verb"
"crowd out","बाहर कर देना","Verb"
"crowd puller","दर्शकों को आकर्षित करने वाला व्यक्ति","Noun"
"crowd puller","दर्शकों को आकर्षित करने वाली वस्तु","Noun"
"crowd puller","दर्शकों को आकर्षित करने वाली 
वस्तु","Noun"
"crowd puller","दर्शकों को आकर्षित करने 
वाला व्यक्ति","Noun"
"crowded","सघन","Adjective"
"crowded","भरा हुआ","Verb"
"crowded","भरा 
हुआ","Verb"
"crowded","अधिक भीड़ वाली","Adjective"
"crowded","भीडभाड","Verb"
"crowded area","भीड वाला क्षेत्र","Noun"
"crowdfunding","वेबसाइट के माध्यम से दान के लिए धन जमा करना","verb"
"crowds","भीड़","Noun"
"crowing","शेखी","Noun"
"crowing of a cock","बाँग","Noun"
"crown","शिखर","Noun"
"crown","सिर पर मारना","Verb"
"crown","सिर","Noun"
"crown","पुरस्कार","Noun"
"crown","भरा होना","Verb"
"crown","सम्मानित करना","TransitiveVerb"
"crown","दाँत पर खोल चढाना","TransitiveVerb"
"crown","राज्याभिषेक करना","TransitiveVerb"
"crown","शिखर पर होना","TransitiveVerb"
"crown","ताज","Noun"
"crown","कवर चढवाना","Verb"
"crown","मुकुट","Noun"
"crown","दांत","Noun"
"crown","बिल्ला","Noun"
"crown","विभूषित करना","Verb"
"crown","नकली 
दांत","Noun"
"crown","नकली दांत","Noun"
"crown","विभूषित 
करना","Verb"
"crown","भरा 
होना","Verb"
"crown","राजमुकुट","Noun"
"crown","ब्रिटिश सिक्का","Noun"
"crown","कुलाह","Verb"
"crown 
court","फ़ौजदारी न्यायालय","Noun"
"crown 
jewels","शाही आभूषण","Noun"
"crown 
princess","रजकुमारी","Noun"
"crown colony","राज उपनिवेश","Noun"
"crown court","फ़ौजदारी न्यायालय","Noun"
"crown jewels","शाही आभूषण","Noun"
"crown prince","युवराज","Noun"
"crown princess","रजकुमारी","Noun"
"crown princess","युवराज्ञी","Noun"
"crown princess","युवरानी","Noun"
"crowned head","अभिषिक्त राजा","Noun"
"crowned head","सम्राट","Noun"
"crowning","समापन","Adjective"
"crowning","सर्वोच्च","Verb"
"crowning (architecture)","उत्तमांग (वास्तुकला)","Noun"
"crows feet","आँखों के पास की झुर्रियाँ","Noun"
"crows nest","पौरी 
कोटर","Noun"
"crows nest","पौरी कोटर","Noun"
"crucial","निर्णायक","Adjective"
"crucial","संकटपूर्ण","Adjective"
"crucial","अत्यंत महत्वपूर्ण","Adjective"
"crucial","जरूरी","Adjective"
"crucially","अत्यावश्यक रूप से","Adverb"
"crucially","अत्यावश्यक रूप 
से","Adverb"
"crucible","संकट की घड़ी","Noun"
"crucible","कडी परीक्षा","Noun"
"crucible","कुल्हिया","Noun"
"crucible","घरिया","Noun"
"crucible","संकट की 
घड़ी","Noun"
"crucifix","क्रूस","Noun"
"crucifix","क्रस पर ईसा मसीह की मूर्ति","Noun"
"crucifix","क्रस पर ईसा मसीह की 
मूर्ति","Noun"
"crucifix","क्रूसमूर्ति","Noun"
"crucifix","क्रूसीफिक्स","Noun"
"crucifixion","क्रूसारोपण","Noun"
"crucifixion","सूली पर चढाने का कार्य","Noun"
"cruciform","क्रूसाकार","Adjective"
"cruciform","क्रास आकार का","Adjective"
"crucify","क्रूस पर मौत देना","Verb"
"crucify","सूली पर चढ़ाना","TransitiveVerb"
"crucify","सूली पर चढ़ा देना","Verb"
"crucify","क्रूस पर मौत 
देना","Verb"
"crucify","सूली 
पर चढ़ा देना","Verb"
"crude","अश्लील","Noun"
"crude","अशिष्ट","Noun"
"crude","अपरिष्कृत","Adjective"
"crude","अशोधित","Adjective"
"crude oil","कच्चा तेल","noun"
"crudely","अनगढ़ तरीके से","Adverb"
"crudely","रुखाई से","Adverb"
"crudely","अनगढ़ तरीके 
से","Adverb"
"crudeness","अपिष्कृतता","Noun"
"crudeness","असभ्यता","Noun"
"crudites","घोल","Noun"
"crudity","अशिष्टता","Noun"
"crudity","अपरिष्कृतता","Noun"
"crudity","असभ्यताआ","Noun"
"cruel","कठोर","Adjective"
"cruel","निर्दय","Adjective"
"cruel","निर्दयता से","Adjective"
"cruel","क्रूर","Adjective"
"cruel","क्रूरता से","Adjective"
"cruel","क्रूरता 
से","Adjective"
"cruel","भयानक","Adjective"
"cruel","निर्दयी","Adjective"
"cruel","निष्ठुर","Adjective"
"cruel","निर्दयता 
से","Adjective"
"cruel","क्रूर, निर्मोही","Adjective"
"cruel","खराब","Adjective"
"cruelly","क्रूरतापूर्वक","Adverb"
"cruelly","निर्दयतापूर्वक","Adverb"
"cruelty","क्रूरता","Noun"
"cruelty","कठोरता","Noun"
"cruelty","निर्दयता","Noun"
"cruelty","निष्ठुरता","Noun"
"cruet","नमकदानी","Noun"
"cruise","यौन सुख के लिये 
भटकना","Verb"
"cruise","चलना","Verb"
"cruise","समुद्री यात्रा","Noun"
"cruise","समुद्र विहार करना","IntransitiveVerb"
"cruise","समुद्री पर्यटन करना","Verb"
"cruise","समुद्री 
पर्यटन","Noun"
"cruise","समुद्री पर्यटन","Noun"
"cruise","लक्ष्य प्राप्त करना","IntransitiveVerb"
"cruise","यौन सुख के लिये भटकना","Verb"
"cruise control","क्रूज़र 
नियंट्रक","Noun"
"cruise control","तेज नियन्त्रं मशीन","Noun"
"cruise control","क्रूज़र नियंट्रक","Noun"
"cruise missile","क्रूज़र प्रक्षेपणास्ट्र","Noun"
"cruise missile","परिकलक संचालक क्षेप्यास्त्र","Noun"
"cruiser","युद्धपोत","Noun"
"cruiser","क्रूज़र","Noun"
"cruiser","तीव्रगामी युद्धपोत","Noun"
"cruller","ऐंठनदार केक","Noun"
"crumb","कमीना आदमी","Noun"
"crumb","कण","Noun"
"crumb","कमीना 
आदमी","Noun"
"crumb","ोटी का टुकड़ा","Noun"
"crumb","चूरा","Noun"
"crumble","चूर चूर होना","TransitiveVerb"
"crumble","टुकड़े टुकड़े होना","Verb"
"crumble","कमज़ोर 
पड़ना","Verb"
"crumble","टुकड़े टुकड़े 
करना","Verb"
"crumble","ओवनपाक फल व्यंजन","Verb"
"crumble","क्रंबल","Verb"
"crumble","कमज़ोर पड़ना","Verb"
"crumble","टुकड़े टुकड़े करना","Verb"
"crumbly","भुरभुरा","Adjective"
"crummy","घटिया","Adjective"
"crummy","बेकार","Adjective"
"crumpet","एक प्रकार का केक","Noun"
"crumple","सिकोड़ना","Verb"
"crumple","ध्वस्त होना","Verb"
"crumple","गींजना","Verb"
"crumple","सिलवटें डालना[पडना]","Verb"
"crumpled","तुड़ा मुड़ा","Verb"
"crunch","मुश्किल","Noun"
"crunch","कुचलना","TransitiveVerb"
"crunch","संगणना करना","TransitiveVerb"
"crunch","चरमराना","Verb"
"crunch","कटर कटर 
चबाना","Verb"
"crunch","चर्वण करना","Verb"
"crunch","कटर कटर चबाना","Verb"
"crunch","चरमरहट","Noun"
"crunch","क्रंच 
करना","Verb"
"crunch","क्रंच करना","Verb"
"crunchy","कुरकुरी","Noun"
"crunchy","कुरकुरा","Adjective"
"crunk","बहुत ज्यादा उत्साहित","adverb"
"crupper","दुमची","Noun"
"crusade","धर्मयुद्ध करना","Verb"
"crusade","धर्मयुद्ध","Noun"
"crusade","धर्म युद्ध करना","TransitiveVerb"
"crusade","धर्मयुद्ध 
करना","Verb"
"crusade","ईसाईयों का धर्मयुद्ध","Noun"
"crusader","धर्मयोद्धा","Noun"
"crusader","धर्म युद्ध करने वाला","Noun"
"crush","चूर चूर 
करना","Verb"
"crush","दबाना","Verb"
"crush","जमघट","Noun"
"crush","कुचलना","TransitiveVerb"
"crush","बुरी तरह परास्त कर देना","Verb"
"crush","चूर चूर करना","Verb"
"crush","प्रेमासक्त 
होना","Verb"
"crush","प्रेमासक्त होना","Verb"
"crush","पेरना","Verb"
"crush","क्रश","Noun"
"crush","भीड़","Noun"
"crush 
into","घुसेड़ना","Verb"
"crush barrier","भीड़ रोक","Noun"
"crush into","घुसेड़ना","Verb"
"crush out","निचोड़कर निकालना","Verb"
"crush past","रौंदते हुए निकलना","Verb"
"crush through","ज़बरदस्ती 
घुसाना","Verb"
"crush through","ज़बरदस्ती घुसाना","Verb"
"crushed","कुचला हुआ","Verb"
"crushed","दबा","Verb"
"crushed","चूरा","Verb"
"crushing","तीव्र","Noun"
"crushing","दमित करने 
वाला","Noun"
"crushing","दमित करने वाला","Noun"
"crushingly","कठोरतापूर्वक","Adverb"
"crust","बाह्य पटल","Verb"
"crust","परत","Noun"
"crust","खाल","Noun"
"crust","छिलका","Noun"
"crust","उपरी तह चढाना","Verb"
"crust","आवरण","Noun"
"crust","टुकड़ा","Noun"
"crust","लेप चढाना","Verb"
"crust","पपड़ी","Noun"
"crust","ढाकना","Verb"
"crust","उपरी तह","Noun"
"crust","पृष्ठभाग","Noun"
"crust","बाह्य 
पटल","Noun"
"crust","तह","Noun"
"crust","धूल","Noun"
"crust","रोटी की पपड़ी","Noun"
"crust","लेप 
चढाना","Verb"
"crust","उपरी 
तह","Noun"
"crust","उपरी तह 
चढाना","Verb"
"crust","ढकना","Verb"
"crustacean","कड़े खोल वाला जानवर","Noun"
"crustacean","कड़े खोल वाला 
जानवर","Noun"
"crustacean","कडे खोलवाला जलजीव","Noun"
"crustal","पिटारा","Adjective"
"crusty","चिड़चिड़ा","Adjective"
"crusty","पपडीदार","Adjective"
"crutch","सहारा","Noun"
"crutch","बैसाखी","Noun"
"crutches","बैसाखी","Noun"
"crux","समस्या का महत्वपूर्ण अंग","Noun"
"crux","मूल 
बिंदु","Noun"
"crux","मूल बिंदु","Noun"
"cry","बताना","Verb"
"cry","निकालना","Verb"
"cry","कहना","Verb"
"cry","घोषणा 
करना","Verb"
"cry","नारा","Noun"
"cry","चिल्लाना","IntransitiveVerb"
"cry","बहाना","Verb"
"cry","मांग","Noun"
"cry","माँग 
करना","Verb"
"cry","घोषणा करना","Verb"
"cry","चिल्लाहट","Noun"
"cry","रोना","Verb"
"cry","चीं चीं 
करना","Verb"
"cry","आवाज देना","Verb"
"cry","भूँकना","Verb"
"cry","माँग करना","Verb"
"cry","कड़ा विरोध","Noun"
"cry","आवाज 
देना","Verb"
"cry","चीं चीं करना","Verb"
"cry","रोने के दौरा","Noun"
"cry","रोने के 
दौरा","Noun"
"cry","आवाज","Verb"
"cry","माँगना","Verb"
"cry","आवाज करना","Verb"
"cry","चीख़","Verb"
"cry 
off","पीछे हट्ना","Verb"
"cry 
wolf","अकारण शोर मचाना","Verb"
"cry baby","अकारण रोते रहने वाला","Noun"
"cry baby","अकारण रोते रहने 
वाला","Noun"
"cry blue murder","खाम खा आसमान सिर पर उठा लेना","Verb"
"cry down","निंदा करना","Verb"
"cry down","निंदा 
करना","Verb"
"cry eyes out","फूट फूट कर रोना","Verb"
"cry heart out","फूट फूट कर रोना","Verb"
"cry heart out","फूट फूट कर 
रोना","Verb"
"cry off","पीछे हट्ना","Verb"
"cry out for","मांग करना","Verb"
"cry over spilt 
milk","व्यर्थ पछताना","Verb"
"cry over spilt milk","व्यर्थ पछताना","Verb"
"cry to sleep","रोते रोते सोना","Verb"
"cry wolf","अकारण शोर मचाना","Verb"
"crybaby","रिरियाने वला","Noun"
"crybaby","डरपोक","Noun"
"crybaby","कायर","Noun"
"crying","अत्यधिक","Noun"
"crying","चीखता हुआ","Noun"
"crying","अत्यंत महत्वपूर्ण","Noun"
"crying","रुदन","Noun"
"crying","चिल्लाता हुआ","Noun"
"crying","अत्यंत 
महत्वपूर्ण","Noun"
"cryogenic","कम तापमानयुक्त","Adjective"
"cryogenic","परिशीतन","Adjective"
"cryogenic engineering","परिशीतन अभियांत्रिकी","Noun"
"cryophyte","बर्फ़जीवी","Noun"
"crypt","तहखाना","Verb"
"crypt","शवकक्ष","Noun"
"cryptic","गुप्त","Adjective"
"cryptic","रहस्यमय","Adjective"
"cryptically","रहस्यमय ढंग से","Adverb"
"cryptography","बीज लेखन","Noun"
"crystal","स्फटिक","Noun"
"crystal","घड़ी का काँच","Noun"
"crystal","स्फटिक कांच पात्र","Noun"
"crystal","बिल्लौर","Noun"
"crystal","क्रिस्टल","Noun"
"crystal","स्फटिक 
कांच पात्र","Noun"
"crystal","मणिभ","Noun"
"crystal ball","क्रिस्टल बल","Noun"
"crystal clear","सुस्पष्ट","Adjective"
"crystal clear","पूर्णतया स्वच्छ","Adjective"
"crystal clear","बहुत ही सरल","Adjective"
"crystal clear","बहुत 
ही सरल","Adjective"
"crystal gazing","स्फटिक दर्शन","Noun"
"crystal gazing","भविष्यवाणी करने का अभ्यास","Noun"
"crystalline","स्फटिक","Adjective"
"crystalline","स्फटिकीय","Adjective"
"crystalline","पारदर्शी","Adjective"
"crystalline","पारदर्शक","Adjective"
"crystalline","मणिभीय","Adjective"
"crystallisation","क्रिस्टलीकरण","Noun"
"crystallise","क्रिस्टल 
बनना","Verb"
"crystallise","क्रिस्टल बनना","Verb"
"crystallise","निश्चित रूप देना","Verb"
"crystallise","निश्चित रूप धारण करना","Verb"
"crystallise","रवेदार बनाना","Verb"
"crystallise","निश्चित रूप धारण 
करना","Verb"
"crystallised","क्रिस्टलीकृत","Verb"
"crystallization","क्रिस्टलीकरण","Noun"
"crystallize","क्रिस्टल 
बनना","Verb"
"crystallize","क्रिस्टल बनना","Verb"
"crystallize","निश्चित रूप देना","Verb"
"crystallize","निश्चित रूप धारण करना","Verb"
"crystallize","निश्चित रूप धारण 
करना","Verb"
"crystallized","क्रिस्टलीकृत","Verb"
"crystallized","रवेदार हुआ","Adjective"
"cub","कब","Noun"
"cub","शावक","Noun"
"cub","बच्चा{सिंह/लोमड़ी आदि पशु का}","Noun"
"cub","नौसिखिया","Noun"
"cub","बच्चा देना","Verb"
"cub","शेर का बच्चा","Noun"
"cub","कब्ज़","Noun"
"cub","लड़का","Noun"
"cub 
reporter","नौसिखिआ 
संवाददाता","Noun"
"cub reporter","नौसिखिआ संवाददाता","Noun"
"cub scout","कब स्काउट","Noun"
"cub scouts","कब स्काउट्स","Noun"
"cuba","क्यूबा","Noun"
"cuban 
sandwich","क्यूबाई सैंडविच","Noun"
"cuban itch","लघु मसूरिका","Noun"
"cuban peso","पेसो","Noun"
"cuban sandwich","क्यूबाई सैंडविच","Noun"
"cubby","आरामदेह कमरा","Noun"
"cubbyhole","आरामदेह कमरा","Noun"
"cube","घनफल","Noun"
"cube","घन","Noun"
"cube","क्यूब","Noun"
"cube","घनाकार 
टुकड़ा","Noun"
"cube","घनाकार टुकड़ा","Noun"
"cube","घन निकालना","Verb"
"cube","घनाकार टुकड़ा बनाना","Verb"
"cube root","घन मूल","Noun"
"cube root","घनमूल","Adjective"
"cubic","त्रिविमीय","Adjective"
"cubic","घनाकार","Adjective"
"cubic 
centimeter","घन सेन्टीमीटर","Noun"
"cubic 
meter","घन 
मीटर","Noun"
"cubic centimeter","घन सेन्टीमीटर","Noun"
"cubic foot","घन फुट","Noun"
"cubic inch","घन इंच","Noun"
"cubic meter","घन मीटर","Noun"
"cubicle","घन कक्ष","Noun"
"cubism","घनवाद","Noun"
"cubism","घनचित्रण शैली","Noun"
"cubist","घनचित्रण शैली का","Noun"
"cubist","घनवादी","Noun"
"cubital","अंतःप्रकोष्ठ","Adjective"
"cubs","बालचर","Noun"
"cuckoo","पागल","Noun"
"cuckoo","बेवकूफ़","Noun"
"cuckoo","कोयल","Noun"
"cuckoo (bird)","मधु कंठ","Noun"
"cuckoo clock","कूक करने वाली घंटाघडी","Noun"
"cucumber","ककड़ी की बेल","Noun"
"cucumber","ककड़ी","Noun"
"cucumber","ककड़ी की 
बेल","Noun"
"cucumis melo inodorus","क्युकुमिस मेलो इनोडिरस","Noun"
"cucurbit","कोहड़ा","Noun"
"cucurbita foetidissima","क्यूकर्बिटा फ़ीटिडिसिमा","Noun"
"cucurbita longenaria","कद्‌दू","noun"
"cuddle","आलिंगन","Noun"
"cuddle","गले 
से सटा लेना","Verb"
"cuddle","गले से सटा लेना","Verb"
"cuddle","गाढ आलिंगन","Noun"
"cuddle","चिमटना","IntransitiveVerb"
"cuddle up","सटकर लेटना","Verb"
"cuddle up","सटकर बैठना","Verb"
"cuddly","आलिम्गन करने योग्य","Adjective"
"cuddly","सटने वाला","Adjective"
"cudgel","लाठी","Noun"
"cudgel brains","माथापच्ची करना","Verb"
"cudgel brains","माथापच्ची 
करना","Verb"
"cudweed","सफ़ेद तेजपात","Noun"
"cue","संकेत","Noun"
"cue","डंडा","Noun"
"cue","संकेत शब्द","Noun"
"cue","इशारा 
देना","Verb"
"cue","इशारा देना","Verb"
"cuff","तमाचा मारना","TransitiveVerb"
"cuff","थप्पड़ मारना","Verb"
"cuff","तमाचा","Noun"
"cuff","तमाचा 
मारना","Verb"
"cuff","कफ़","Noun"
"cuff link","कफ लिंक","Noun"
"cuffs","हथकड़ी","Noun"
"cuisine","भोजन","Noun"
"cuisine","पाक प्रणाली","Noun"
"cuisine","पाक शैली","Noun"
"cul de sac","बंद गली","Noun"
"culinary","पाक विषयक","Adjective"
"culinary","पाक शाला संबंधी","Adjective"
"cull","चुनना","TransitiveVerb"
"cull","निवारणीय वस्तु","Noun"
"cull","दुर्बल जानवरों की हत्या","TransitiveVerb"
"cull","निवारणीय 
वस्तु","Noun"
"cull","न्यूनीकरण के लिये मारना","Verb"
"cull out","चुनना","Verb"
"culminate","पराकाष्ठा पर 
पहुँचना","Verb"
"culminate","समाप्त होना","Verb"
"culminate","पराकाष्ठा पर पहुँचना","Verb"
"culminate in","पराकाष्ठा पर 
पहुँचना","Verb"
"culminate in","पराकाष्ठा पर पहुँचना","Verb"
"culminate in","में परिणत होना","Verb"
"culmination","पराकाष्ठा","Noun"
"culmination","समापन","Noun"
"culottes","महिलाओं का स्कर्ट जैसा पतलून","Noun"
"culpability","सदोषता","Noun"
"culpable","दोषी","Adjective"
"culpable","आपराधिक","Adjective"
"culpable homicide","सदोष मानववध","Noun"
"culpable homicide","आपराधिक मानववध","Adjective"
"culpably","आपराधिक ढंग से","Adverb"
"culpably","आपराधिक 
ढंग से","Adverb"
"culprit","अपराधी","Noun"
"culprit","दोषी","Noun"
"cult","उपासना 
पद्धति","Noun"
"cult","सनक","Noun"
"cult","मत","Noun"
"cult","उपासना के योग्य","Noun"
"cult","उपासना के 
योग्य","Noun"
"cult","उपासना पद्धति","Noun"
"cult","पंथ","Noun"
"cultivable","कृष्य","Adjective"
"cultivable","कृषियोग्य","Adjective"
"cultivate","करना","Verb"
"cultivate","तैयार 
करना","Verb"
"cultivate","तैयार करना","Verb"
"cultivate","विकसित करना","Verb"
"cultivate","सुधारना","Verb"
"cultivate","पालना","Verb"
"cultivate","मिट्रता करना","Verb"
"cultivate","उगाना","Verb"
"cultivate","विकसित 
करना","Verb"
"cultivate","खेती करना","TransitiveVerb"
"cultivate","मिट्रता 
करना","Verb"
"cultivate","सम्बन्ध बढाना","TransitiveVerb"
"cultivate","जुताई करना","Verb"
"cultivate","खेती 
करना","Verb"
"cultivate","बढाना","Verb"
"cultivated","सभ्य","Verb"
"cultivated","जोता 
हुआ","Verb"
"cultivated","*****","Verb"
"cultivated","जोता हुआ","Verb"
"cultivated","सांस्कृतिक","Adjective"
"cultivated land","खेत","Noun"
"cultivation","कृषि","Noun"
"cultivation","खेती","Noun"
"cultivation","जुताई","Noun"
"cultivator","कृषक","Noun"
"cultivator","जमीन जोतने का यन्त्र","Noun"
"cultivator","किसान","Noun"
"cultivator","कल्टीवेटर","Noun"
"cultivator","काश्तकार","Noun"
"cultural","सांस्कृतिक","Adjective"
"culturally","सांस्कृतिक 
रूप 
से","Adverb"
"culturally","सांस्कृतिक रूप से","Adverb"
"culture","समूह","Noun"
"culture","संवर्धन","Noun"
"culture","शिष्टता","Noun"
"culture","संस्कार","Noun"
"culture","संस्कृति","Noun"
"culture","तहज़ीब","Noun"
"culture shock","सांस्कृतिक 
ऊहापोह","Noun"
"culture shock","सांस्कृतिक धक्का","Noun"
"culture shock","सांस्कृतिक ऊहापोह","Noun"
"cultured","कृत्रिम","Verb"
"cultured","सुसंस्कृत","Verb"
"cultured","संवर्धित","Verb"
"culvert","भूमिगत नाली","Noun"
"culvert","खै 
शता","Noun"
"culvert","खै शता","Noun"
"culvert","पुलिया","Noun"
"cum","एवं","Preposition"
"cumbersome","भारी","Adjective"
"cumbersome","जटिल","Adjective"
"cumbersome","भारी भरकम","Adjective"
"cumbersomeness","बेढंगापन","Noun"
"cumin","ज़ीरा","Noun"
"cummerbund","कमरबंद","Noun"
"cumulative","संचयी","Adjective"
"cumulative","संचयमान","Adjective"
"cumulonimbus","तूफ़ानी बादल","Noun"
"cumulonimbus cloud","तूफ़ानी बादल","Noun"
"cumulus","मेघपुंज","Noun"
"cuneal","फानाकार","Adjective"
"cuneate","पत्ती के आकार का","Adjective"
"cuneiform","फानाकार","Noun"
"cuneus","फानाकार","Noun"
"cuniary loss","अाथिॅक हानि","Noun"
"cunieform","फन्नीलिपि","Noun"
"cunning","कपटी","Noun"
